2021/05/20 11:55:34 [info] [PID 19380] [tProccess.cpp+118 usrDamon] usrDamon success, proccess name = tserver-master-proccess, pid = 19380
2021/05/20 11:55:34 [info] [PID 19380] [tThread.cpp+7 tThread] 无参数构造函数
2021/05/20 11:55:34 [info] [PID 19380] [tMemoryPool.cpp+40 initMemoryPool] ==========Init memorypool ==================
2021/05/20 11:55:34 [info] [PID 19380] [tMemoryPool.cpp+62 initMemoryPool] == UnitSize:8个
2021/05/20 11:55:34 [info] [PID 19380] [tMemoryPool.cpp+63 initMemoryPool] == UnitCount:256
2021/05/20 11:55:34 [info] [PID 19380] [tMemoryPool.cpp+64 initMemoryPool] == MinBlockCount:3个
2021/05/20 11:55:34 [info] [PID 19380] [tMemoryPool.cpp+65 initMemoryPool] ==========Init memorypool success!==========
2021/05/20 11:55:34 [info] [PID 19380] [tThread.cpp+7 tThread] 无参数构造函数
2021/05/20 11:55:34 [info] [PID 19381] [tProccess.cpp+173 usrFork] usrFork success, proccess name = tserver-worker-proccess-no0, pid = 19381
2021/05/20 11:55:34 [info] [PID 19381] [tThread.cpp+7 tThread] 无参数构造函数
2021/05/20 11:55:34 [info] [PID 19381] [tMemoryPool.cpp+40 initMemoryPool] ==========Init memorypool ==================
2021/05/20 11:55:34 [info] [PID 19381] [tMemoryPool.cpp+62 initMemoryPool] == UnitSize:8个
2021/05/20 11:55:34 [info] [PID 19381] [tMemoryPool.cpp+63 initMemoryPool] == UnitCount:256
2021/05/20 11:55:34 [info] [PID 19381] [tMemoryPool.cpp+64 initMemoryPool] == MinBlockCount:3个
2021/05/20 11:55:34 [info] [PID 19381] [tMemoryPool.cpp+65 initMemoryPool] ==========Init memorypool success!==========
2021/05/20 11:55:34 [info] [PID 19381] [tThread.cpp+7 tThread] 无参数构造函数
2021/05/20 11:55:34 [info] [PID 19380] [tserver.cpp+21 proccess] 1, proccess
2021/05/20 11:55:34 [info] [PID 19381] [tserver.cpp+21 proccess] 1, proccess
2021/05/20 11:55:34 [info] [PID 19380] [tserver.cpp+21 proccess] 2, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 2, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 3, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 3, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 4, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 4, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 5, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 5, proccess
2021/05/20 11:55:35 [warn] [PID 19380] [tThreadTask.cpp+125 run] create pool thread size: 3.
2021/05/20 11:55:35 [info] [PID 19380] [tThread.cpp+7 tThread] 无参数构造函数
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 6, proccess
2021/05/20 11:55:35 [warn] [PID 19381] [tThreadTask.cpp+125 run] create pool thread size: 3.
2021/05/20 11:55:35 [info] [PID 19381] [tThread.cpp+7 tThread] 无参数构造函数
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 6, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 7, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 7, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 8, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 8, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 9, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 9, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 10, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 10, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 11, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 11, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 12, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 12, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 13, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 13, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 14, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 14, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 15, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 15, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 16, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 16, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 17, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 17, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 18, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 18, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 19, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 19, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 20, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 20, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 21, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 21, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 22, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 22, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 23, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 23, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 24, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 24, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 25, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 25, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 26, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 26, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 27, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 27, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 28, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 28, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 29, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 29, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 30, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 30, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 31, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 31, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 32, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 32, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 33, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 33, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 34, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 34, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 35, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 35, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 36, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 36, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 37, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 37, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 38, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 38, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 39, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 39, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 40, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 40, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 41, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 41, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 42, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 42, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 43, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 43, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 44, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 44, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 45, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 45, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 46, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 46, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 47, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 47, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 48, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 48, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 49, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 49, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 50, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 50, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 51, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 51, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 52, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 52, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 53, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 53, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 54, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 54, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 55, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 55, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 56, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 56, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 57, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 57, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 58, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 58, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 59, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 59, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 60, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 60, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 61, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 61, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 62, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 62, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 63, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 63, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 64, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 64, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 65, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 65, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 66, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 66, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 67, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 67, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 68, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 68, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 69, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 69, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 70, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 70, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 71, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 71, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 72, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 72, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 73, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 73, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 74, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 74, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 75, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 75, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 76, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 76, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 77, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 77, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 78, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 78, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 79, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 79, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 80, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 80, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 81, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 81, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 82, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 82, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 83, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 83, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 84, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 84, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 85, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 85, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 86, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 86, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 87, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 87, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 88, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 88, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 89, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 89, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 90, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 90, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 91, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 91, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 92, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 92, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 93, proccess
2021/05/20 11:55:35 [info] [PID 19381] [tserver.cpp+21 proccess] 93, proccess
2021/05/20 11:55:35 [info] [PID 19380] [tserver.cpp+21 proccess] 94, proccess
2021/05/20 11:55:36 [info] [PID 19381] [tserver.cpp+21 proccess] 94, proccess
2021/05/20 11:55:36 [info] [PID 19380] [tserver.cpp+21 proccess] 95, proccess
2021/05/20 11:55:36 [info] [PID 19381] [tserver.cpp+21 proccess] 95, proccess
2021/05/20 11:55:36 [info] [PID 19380] [tserver.cpp+21 proccess] 96, proccess
2021/05/20 11:55:36 [info] [PID 19381] [tserver.cpp+21 proccess] 96, proccess
2021/05/20 11:55:36 [info] [PID 19380] [tserver.cpp+21 proccess] 97, proccess
2021/05/20 11:55:36 [info] [PID 19381] [tserver.cpp+21 proccess] 97, proccess
2021/05/20 11:55:36 [info] [PID 19380] [tserver.cpp+21 proccess] 98, proccess
2021/05/20 11:55:36 [info] [PID 19381] [tserver.cpp+21 proccess] 98, proccess
2021/05/20 11:55:36 [info] [PID 19380] [tserver.cpp+21 proccess] 99, proccess
2021/05/20 11:55:36 [info] [PID 19381] [tserver.cpp+21 proccess] 99, proccess
